source_id,expected_identifier,status,local_relative_path,file_name,size_bytes,modified_utc,sha256,zip_members,candidate_header,inspection_note,manual_verification_gate
IBGE_CENSUS_2022,SIDRA Table 4714 / Census 2022 municipal export,NOT_FOUND,,,,,,,,raw directory unavailable,"Confirm population, area, density variables and 7-digit municipal key; record the historical export date."
IBGE_POP_2024,SIDRA Table 6579 / 2024 municipal population estimate,NOT_FOUND,,,,,,,,raw directory unavailable,Confirm the file is the 2024 municipal estimate and retains the IBGE municipal code.
IBGE_GDP_MUNICIPAL,SIDRA Table 5938 / PIB dos Municipios,NOT_FOUND,,,,,,,,raw directory unavailable,Recover the GDP reference year; compare the local schema with Table 5938 before assigning a vintage.
ANATEL_SMP,acessos_telefonia_movel.zip,NOT_FOUND,,,,,,,,raw directory unavailable,"Confirm provider/month fields, reference month, technology columns, and municipality aggregation."
ANATEL_FIXED_BROADBAND_COMPARISON,acessos_banda_larga_fixa.zip (supplementary comparison; not automatically mapped to FIBER_PER_100),NOT_FOUND,,,,,,,,raw directory unavailable,Treat as a comparison source only unless its columns are shown to be the source of the frozen fiber variables.
ANATEL_ERB,estacoes_licenciadas.zip,NOT_FOUND,,,,,,,,raw directory unavailable,"Confirm NR technology coding, station-count rule, municipality key, and historical snapshot date."
ANATEL_FIBER,meu_municipio.zip,NOT_FOUND,,,,,,,,raw directory unavailable,"Confirm FIBER_ACCESSES/FIBER_BACKHAUL fields, reference period, and one-row-per-municipality grain."
ANATEL_SLP,redes_privativas.zip,NOT_FOUND,,,,,,,,raw directory unavailable,MANDATORY MANUAL GATE: establish why municipalities have multiple records and whether sum/max/mean/first has a documented meaning. Do not promote RQ4 automatically.
ANATEL_SPEED_QOE,medidas_qoe_smp.zip,NOT_FOUND,,,,,,,,raw directory unavailable,Compare columns and aggregation fields with AVG_DL_SPEED; identify the reference period.
ANATEL_SPEED_MAP,mapa_download_smp.zip (alternative speed-schema candidate),NOT_FOUND,,,,,,,,raw directory unavailable,Compare against the local speed schema; do not attribute AVG_DL_SPEED until the matching source is demonstrated.
