model,metric,repeat,fold,score
count,roc_auc,1,1,0.9235689455388181
count,roc_auc,1,2,0.9175388180764774
count,roc_auc,1,3,0.9171494785631518
count,roc_auc,1,4,0.9196485519638384
count,roc_auc,1,5,0.9150487238979119
count,roc_auc,2,1,0.9113696407879489
count,roc_auc,2,2,0.9131170336037079
count,roc_auc,2,3,0.9370243337195828
count,roc_auc,2,4,0.9175039979293962
count,roc_auc,2,5,0.9183433874709976
count,roc_auc,3,1,0.9260254924681343
count,roc_auc,3,2,0.9244774044032444
count,roc_auc,3,3,0.9238887601390499
count,roc_auc,3,4,0.9151930560819368
count,roc_auc,3,5,0.909921113689095
count,roc_auc,4,1,0.8988690614136732
count,roc_auc,4,2,0.9308088064889919
count,roc_auc,4,3,0.9310451911935109
count,roc_auc,4,4,0.9201384716354998
count,roc_auc,4,5,0.9216473317865428
count,roc_auc,5,1,0.908630359212051
count,roc_auc,5,2,0.9133024333719584
count,roc_auc,5,3,0.9379559675550406
count,roc_auc,5,4,0.9250330464684186
count,roc_auc,5,5,0.9146728538283062
count,f1,1,1,0.7682672233820459
count,f1,1,2,0.7580645161290323
count,f1,1,3,0.7736625514403292
count,f1,1,4,0.8
count,f1,1,5,0.775
count,f1,2,1,0.7346072186836518
count,f1,2,2,0.7622950819672131
count,f1,2,3,0.8215767634854771
count,f1,2,4,0.7836734693877551
count,f1,2,5,0.7682926829268293
count,f1,3,1,0.7682672233820459
count,f1,3,2,0.7761806981519507
count,f1,3,3,0.7934560327198364
count,f1,3,4,0.7701863354037267
count,f1,3,5,0.7663934426229508
count,f1,4,1,0.7379454926624738
count,f1,4,2,0.8016194331983806
count,f1,4,3,0.7975460122699386
count,f1,4,4,0.7575150300601202
count,f1,4,5,0.7933884297520661
count,f1,5,1,0.7679671457905544
count,f1,5,2,0.7634854771784232
count,f1,5,3,0.8023715415019763
count,f1,5,4,0.7714285714285715
count,f1,5,5,0.7982832618025751
percap,roc_auc,1,1,0.8019428768362555
percap,roc_auc,1,2,0.826541162279757
percap,roc_auc,1,3,0.8239305561538793
percap,roc_auc,1,4,0.8190307968678819
percap,roc_auc,1,5,0.8411314114176286
percap,roc_auc,2,1,0.842700211088614
percap,roc_auc,2,2,0.8137681471589195
percap,roc_auc,2,3,0.8216430448455607
percap,roc_auc,2,4,0.8268997705061756
percap,roc_auc,2,5,0.8182116177561548
percap,roc_auc,3,1,0.8015723947787878
percap,roc_auc,3,2,0.8290914573730238
percap,roc_auc,3,3,0.8297893421789514
percap,roc_auc,3,4,0.8265430666219713
percap,roc_auc,3,5,0.8261994720770147
percap,roc_auc,4,1,0.8448455606772068
percap,roc_auc,4,2,0.8186748804549175
percap,roc_auc,4,3,0.7887089131090336
percap,roc_auc,4,4,0.7950671720687966
percap,roc_auc,4,5,0.8678726083881098
percap,roc_auc,5,1,0.813087494076595
percap,roc_auc,5,2,0.8158101064058931
percap,roc_auc,5,3,0.8106879765648559
percap,roc_auc,5,4,0.8499866773248068
percap,roc_auc,5,5,0.8373229473974777
percap,f1,1,1,0.555765595463138
percap,f1,1,2,0.6162162162162163
percap,f1,1,3,0.6174242424242424
percap,f1,1,4,0.5963636363636363
percap,f1,1,5,0.6323268206039077
percap,f1,2,1,0.6346863468634686
percap,f1,2,2,0.5842293906810035
percap,f1,2,3,0.5930018416206262
percap,f1,2,4,0.6060606060606061
percap,f1,2,5,0.6101694915254238
percap,f1,3,1,0.5814814814814815
percap,f1,3,2,0.6238532110091743
