model,split_seed,partition,MUNICIP_ID
count,42,train,1101468
count,42,train,3120102
count,42,train,4125209
count,42,train,4107157
count,42,train,3500808
count,42,train,5206701
count,42,train,4217006
count,42,train,2927903
count,42,train,2306009
count,42,train,4128534
count,42,train,4312443
count,42,train,2406304
count,42,train,4114005
count,42,train,1707207
count,42,train,2202117
count,42,train,4103370
count,42,train,4216057
count,42,train,5104500
count,42,train,2601102
count,42,train,3167301
count,42,train,2705507
count,42,train,3126000
count,42,train,3155009
count,42,train,3149002
count,42,train,3533601
count,42,train,2408904
count,42,train,3124203
count,42,train,2501534
count,42,train,3549805
count,42,train,2927200
count,42,train,3113701
count,42,train,3537503
count,42,train,2608800
count,42,train,2409308
count,42,train,4314464
count,42,train,4320305
count,42,train,1302306
count,42,train,2403707
count,42,train,3535606
count,42,train,1715002
count,42,train,3304755
count,42,train,2201739
count,42,train,2403202
count,42,train,1503754
count,42,train,1502954
count,42,train,2301802
count,42,train,3531001
count,42,train,1705557
count,42,train,3538006
count,42,train,4117057
count,42,train,2200509
count,42,train,2911808
count,42,train,4216305
count,42,train,4321493
count,42,train,4309951
count,42,train,1721307
count,42,train,4119954
count,42,train,2922730
count,42,train,3162500
count,42,train,2505352
count,42,train,3139409
count,42,train,1501402
count,42,train,2514701
count,42,train,4206702
count,42,train,3157807
count,42,train,2610103
count,42,train,4108700
count,42,train,2206357
count,42,train,3143906
count,42,train,3167806
count,42,train,2703601
count,42,train,2913309
count,42,train,3510401
count,42,train,1304302
count,42,train,3134202
count,42,train,1500305
count,42,train,3527306
count,42,train,4305439
count,42,train,4126108
count,42,train,2924405
count,42,train,5222005
count,42,train,3203601
count,42,train,5103361
count,42,train,5212253
count,42,train,4312906
count,42,train,2607752
count,42,train,2602001
count,42,train,3159605
count,42,train,3508207
count,42,train,2506509
count,42,train,2509305
count,42,train,1707702
count,42,train,3512605
count,42,train,4314068
count,42,train,2512200
count,42,train,2105807
count,42,train,5219902
count,42,train,2515906
count,42,train,3148004
count,42,train,3129707
count,42,train,4102406
count,42,train,1710706
count,42,train,3531100
count,42,train,1500347
count,42,train,4107538
count,42,train,5209150
count,42,train,2921054
count,42,train,3166709
count,42,train,3537909
count,42,train,5105622
count,42,train,2401503
count,42,train,2205581
count,42,train,3550605
count,42,train,4318002
count,42,train,2514800
count,42,train,4102703
count,42,train,4120655
count,42,train,3520202
count,42,train,2208106
count,42,train,3118601
count,42,train,2614501
count,42,train,4115606
count,42,train,4211256
count,42,train,2210508
count,42,train,4118105
count,42,train,2410900
count,42,train,3100302
count,42,train,3547007
count,42,train,4306767
count,42,train,2203701
count,42,train,2308906
count,42,train,2209906
count,42,train,3121308
count,42,train,3536604
count,42,train,3108255
count,42,train,3509957
count,42,train,1200203
count,42,train,2700102
count,42,train,4204558
count,42,train,3157708
count,42,train,2801009
count,42,train,2923704
count,42,train,4307807
count,42,train,4100707
count,42,train,5008305
count,42,train,2307106
count,42,train,2201051
count,42,train,5106000
count,42,train,2918456
count,42,train,1502152
count,42,train,4107256
count,42,train,3523909
count,42,train,3142502
count,42,train,5219100
count,42,train,5212808
count,42,train,2406007
count,42,train,2402303
count,42,train,3305703
count,42,train,4323101
count,42,train,3530201
count,42,train,4111704
count,42,train,3511300
count,42,train,2203008
count,42,train,3546504
count,42,train,2105427
count,42,train,2503803
count,42,train,4200804
count,42,train,5210208
count,42,train,4318606
count,42,train,5220454
count,42,train,1302900
count,42,train,5213707
count,42,train,3107406
count,42,train,2510907
count,42,train,4305934
count,42,train,2403103
count,42,train,3500303
count,42,train,2104404
count,42,train,3162708
count,42,train,4302451
count,42,train,4105607
count,42,train,2109403
count,42,train,4317707
count,42,train,4211058
count,42,train,2608453
count,42,train,5108303
count,42,train,3169802
count,42,train,2927705
count,42,train,3122603
count,42,train,4306700
count,42,train,3526902
count,42,train,3156205
count,42,train,3520400
count,42,train,4200507
count,42,train,3534708
count,42,train,3166303
count,42,train,2413508
count,42,train,3547809
count,42,train,4209854
count,42,train,5210307
count,42,train,1101484
count,42,train,1706001
count,42,train,5211206
count,42,train,3543709
count,42,train,4302501
count,42,train,3121209
count,42,train,2605707
count,42,train,3123908
count,42,train,4104253
count,42,train,2917904
count,42,train,4115101
count,42,train,2907103
count,42,train,4105508
count,42,train,2312700
count,42,train,3170305
count,42,train,5103957
count,42,train,5107297
count,42,train,2201408
count,42,train,1505635
count,42,train,4116000
count,42,train,2312502
count,42,train,3106655
count,42,train,2707602
count,42,train,3535200
count,42,train,4112504
count,42,train,3135357
count,42,train,3110301
count,42,train,1101104
count,42,train,4104600
count,42,train,2905305
count,42,train,3106804
count,42,train,4107736
count,42,train,3125408
count,42,train,4322350
count,42,train,3549953
count,42,train,3110707
count,42,train,4303806
count,42,train,3125606
count,42,train,2311355
count,42,train,2806602
count,42,train,4215455
count,42,train,4309654
count,42,train,2202109
count,42,train,2803708
count,42,train,5211602
count,42,train,3123601
count,42,train,3507407
count,42,train,4128625
count,42,train,3158904
count,42,train,2912608
count,42,train,3145604
count,42,train,2926301
count,42,train,1503606
count,42,train,4310330
count,42,train,2104081
count,42,train,2106805
count,42,train,5105309
count,42,train,3132305
count,42,train,2103901
count,42,train,1508126
count,42,train,3130804
count,42,train,2515930
count,42,train,2924900
count,42,train,2111953
count,42,train,2708956
count,42,train,2407906
count,42,train,4200754
count,42,train,3171030
count,42,train,5105176
count,42,train,4315149
count,42,train,3513207
count,42,train,1400456
count,42,train,4316709
count,42,train,2110203
count,42,train,2406403
count,42,train,2916401
count,42,train,4310462
count,42,train,1716703
count,42,train,3150208
count,42,train,2512747
count,42,train,2304350
count,42,train,2511509
count,42,train,3304110
count,42,train,4218756
count,42,train,4319000
count,42,train,1300060
count,42,train,5209952
count,42,train,3170578
count,42,train,4127205
count,42,train,1703107
count,42,train,3120904
count,42,train,3123528
count,42,train,3546900
count,42,train,3140506
count,42,train,4317756
count,42,train,3170404
count,42,train,1715705
count,42,train,4121000
count,42,train,3169208
count,42,train,4304903
count,42,train,3153905
count,42,train,4304622
count,42,train,3118403
count,42,train,2405801
count,42,train,4119103
count,42,train,2401651
count,42,train,2210979
count,42,train,4212809
count,42,train,3300704
count,42,train,3537156
count,42,train,2105500
count,42,train,3555109
count,42,train,2909703
count,42,train,1600535
count,42,train,3126901
count,42,train,3501905
count,42,train,2204402
count,42,train,1303700
count,42,train,4205506
count,42,train,2918506
count,42,train,3159407
count,42,train,2920007
count,42,train,2925808
count,42,train,2108900
count,42,train,3132503
count,42,train,3164407
count,42,train,4218251
count,42,train,3123007
count,42,train,3154150
count,42,train,3545704
count,42,train,3103009
count,42,train,2929503
count,42,train,2709004
count,42,train,3543501
count,42,train,5215256
count,42,train,3203205
count,42,train,3520103
count,42,train,2203859
count,42,train,3530607
count,42,train,4210902
count,42,train,2509800
count,42,train,4312054
count,42,train,4122156
count,42,train,2404408
count,42,train,5216403
count,42,train,4220000
count,42,train,2114007
count,42,train,1600600
count,42,train,4209458
count,42,train,4302154
count,42,train,3543253
count,42,train,4311502
count,42,train,3161403
count,42,train,2107456
count,42,train,4218509
count,42,train,2313906
count,42,train,2112233
count,42,train,2516607
count,42,train,3552551
count,42,train,3133600
count,42,train,3550100
count,42,train,2100154
count,42,train,3532504
count,42,train,5217708
count,42,train,3133303
count,42,train,2933505
count,42,train,4311643
count,42,train,2203354
count,42,train,1711803
count,42,train,4305702
count,42,train,3542206
count,42,train,4323358
count,42,train,1303502
count,42,train,4320230
count,42,train,2616001
count,42,train,2506608
count,42,train,2913903
count,42,train,2206902
count,42,train,4308904
count,42,train,4302659
count,42,train,2412559
count,42,train,2916856
count,42,train,1505494
count,42,train,5105150
count,42,train,4105409
count,42,train,3536208
count,42,train,2310001
count,42,train,3304524
count,42,train,3129103
count,42,train,5211800
count,42,train,2516151
count,42,train,2310258
count,42,train,4109500
count,42,train,2207355
count,42,train,4319406
count,42,train,2922805
count,42,train,5214879
count,42,train,5104609
count,42,train,2903508
count,42,train,3147204
count,42,train,3142700
count,42,train,1100288
count,42,train,4117008
count,42,train,3119955
count,42,train,2210805
count,42,train,2902203
count,42,train,3509254
count,42,train,2409803
count,42,train,4212106
count,42,train,2932606
count,42,train,3203502
count,42,train,4302352
count,42,train,3161601
count,42,train,5206206
count,42,train,2509909
count,42,train,3521804
count,42,train,2903706
count,42,train,2506806
count,42,train,5221304
count,42,train,3135407
count,42,train,2606101
count,42,train,5007703
count,42,train,2708006
count,42,train,3200904
count,42,train,3535507
count,42,train,1303304
count,42,train,5204656
count,42,train,2921302
count,42,train,2302305
count,42,train,2508802
count,42,train,3540903
count,42,train,2931004
count,42,train,2103307
count,42,train,4202909
count,42,train,3102308
count,42,train,2613305
count,42,train,4305835
count,42,train,3541000
count,42,train,2914703
count,42,train,3165537
count,42,train,4213807
count,42,train,4102208
count,42,train,3303609
count,42,train,3302908
count,42,train,3104007
count,42,train,4127908
count,42,train,4114609
count,42,train,3117504
count,42,train,3522208
count,42,train,4110508
count,42,train,2807105
count,42,train,4112959
count,42,train,2907558
count,42,train,2504009
count,42,train,3110905
count,42,train,2505501
count,42,train,2615409
count,42,train,2206704
count,42,train,3509403
count,42,train,2909505
count,42,train,4314456
count,42,train,4102109
count,42,train,2101707
count,42,train,2915700
count,42,train,3150109
count,42,train,4115507
count,42,train,3135100
count,42,train,2602704
count,42,train,2305332
count,42,train,4305603
count,42,train,3556503
count,42,train,3154457
count,42,train,1709302
count,42,train,2931301
count,42,train,4118709
count,42,train,2103752
count,42,train,3153202
count,42,train,3547403
count,42,train,2508554
count,42,train,5219712
count,42,train,1702109
count,42,train,2508307
count,42,train,3507902
count,42,train,2100402
count,42,train,4316428
count,42,train,3146552
count,42,train,2906899
count,42,train,2305506
count,42,train,2908507
count,42,train,3113008
count,42,train,2615805
count,42,train,2917706
count,42,train,4309050
count,42,train,3513801
count,42,train,2202539
count,42,train,4104428
count,42,train,4305587
count,42,train,3115508
count,42,train,2107605
count,42,train,3169406
count,42,train,2702355
count,42,train,1101708
count,42,train,3149804
count,42,train,5212006
count,42,train,2507002
count,42,train,5207907
count,42,train,1714302
count,42,train,2906303
count,42,train,2908705
count,42,train,2202083
count,42,train,2803302
count,42,train,2612505
count,42,train,1712009
count,42,train,3129905
count,42,train,3521507
count,42,train,3301405
count,42,train,3201001
count,42,train,3167202
count,42,train,3539301
count,42,train,2103802
count,42,train,3109303
count,42,train,3103603
count,42,train,2102606
count,42,train,5107305
count,42,train,2310803
count,42,train,3108008
count,42,train,2616407
count,42,train,2203420
count,42,train,4211702
count,42,train,1716208
count,42,train,4207809
count,42,train,5103056
count,42,train,3151602
count,42,train,2917508
count,42,train,2101004
count,42,train,3101102
count,42,train,4315552
count,42,train,2314102
count,42,train,2502508
count,42,train,3539202
count,42,train,1302702
count,42,train,3143104
count,42,train,5208152
count,42,train,2406155
count,42,train,4109401
count,42,train,2612471
count,42,train,2407302
count,42,train,3154200
count,42,train,1100056
count,42,train,5220702
count,42,train,2100477
count,42,train,1100148
count,42,train,4204459
count,42,train,2807402
count,42,train,3116902
count,42,train,2111201
count,42,train,1301308
count,42,train,2202000
count,42,train,2210375
count,42,train,2306603
count,42,train,2516904
count,42,train,2109452
count,42,train,2406809
count,42,train,2201770
count,42,train,2608255
count,42,train,4300661
count,42,train,4127403
count,42,train,4101903
count,42,train,2312403
count,42,train,3160207
count,42,train,4108452
count,42,train,2109601
count,42,train,2311702
count,42,train,4321477
count,42,train,3517505
count,42,train,3528403
count,42,train,3146206
count,42,train,3539400
count,42,train,3111903
count,42,train,3150802
count,42,train,2102150
count,42,train,1400175
count,42,train,5007554
count,42,train,3170602
count,42,train,2412807
count,42,train,2506707
count,42,train,5214051
count,42,train,2511004
count,42,train,3101904
count,42,train,2311108
count,42,train,4203105
count,42,train,2805604
count,42,train,4128104
count,42,train,3117836
count,42,train,2105153
count,42,train,4103305
count,42,train,2103554
count,42,train,3116605
count,42,train,4122651
count,42,train,2807006
count,42,train,2514651
count,42,train,3139250
count,42,train,5107792
count,42,train,5002001
count,42,train,1501204
count,42,train,4204178
count,42,train,5103106
count,42,train,2700201
count,42,train,1507904
count,42,train,2931103
count,42,train,1704600
count,42,train,4208955
count,42,train,4208500
count,42,train,5102850
count,42,train,2205201
count,42,train,3555000
count,42,train,2615904
count,42,train,3546306
count,42,train,3144805
count,42,train,3516507
count,42,train,2614709
count,42,train,4322608
count,42,train,2910057
count,42,train,3205150
count,42,train,2502607
count,42,train,4101853
count,42,train,2511202
count,42,train,4128658
count,42,train,5108956
count,42,train,3535804
count,42,train,4311627
count,42,train,4311403
count,42,train,1507953
count,42,train,2924306
count,42,train,2204352
count,42,train,3116803
count,42,train,5209457
count,42,train,3512902
count,42,train,4206504
count,42,train,3304607
count,42,train,2503902
count,42,train,4323705
count,42,train,4315057
count,42,train,2409100
count,42,train,3138708
count,42,train,4318614
count,42,train,4218707
count,42,train,5107875
count,42,train,3139706
count,42,train,3509106
count,42,train,4119707
count,42,train,3510203
count,42,train,2207900
count,42,train,4304309
count,42,train,3507605
count,42,train,3104601
count,42,train,4312955
count,42,train,5209408
count,42,train,5003488
count,42,train,3170107
count,42,train,1303569
count,42,train,4106704
count,42,train,2904308
count,42,train,3113503
count,42,train,3522703
count,42,train,4212502
count,42,train,3115359
count,42,train,4314159
count,42,train,4101606
count,42,train,3501004
count,42,train,4320651
count,42,train,1507961
count,42,train,2608008
count,42,train,4118006
count,42,train,4305009
count,42,train,1701002
count,42,train,3519055
count,42,train,1500958
count,42,train,3139508
count,42,train,2411106
count,42,train,3139904
count,42,train,4209904
count,42,train,5101852
count,42,train,2922102
count,42,train,4126900
count,42,train,3148905
count,42,train,2209500
count,42,train,5003256
count,42,train,2306900
count,42,train,2402402
count,42,train,5206602
count,42,train,2927606
count,42,train,1501600
count,42,train,3162609
count,42,train,5221551
count,42,train,2906105
count,42,train,2108603
count,42,train,2513927
count,42,train,3147402
count,42,train,5205497
count,42,train,2604403
count,42,train,2207553
count,42,train,1712504
count,42,train,4314308
count,42,train,2709202
count,42,train,2517407
count,42,train,5003207
count,42,train,2202711
count,42,train,2306801
count,42,train,2925006
count,42,train,3543105
count,42,train,2700706
count,42,train,1200054
count,42,train,2701605
count,42,train,3301801
count,42,train,5209291
count,42,train,3127206
count,42,train,5202155
count,42,train,3548203
count,42,train,5212956
count,42,train,2209104
count,42,train,5200555
count,42,train,4314423
count,42,train,3520806
count,42,train,3142908
count,42,train,3507753
count,42,train,1718899
count,42,train,2408508
count,42,train,1504604
count,42,train,3522000
count,42,train,2202851
count,42,train,3524006
count,42,train,2304806
count,42,train,1713601
count,42,train,4115358
count,42,train,1504109
count,42,train,3142007
count,42,train,2929909
count,42,train,1505908
count,42,train,2924702
count,42,train,5107578
count,42,train,4310306
count,42,train,3525805
count,42,train,3113206
count,42,train,5210406
count,42,train,3551306
count,42,train,2202752
count,42,train,3137007
count,42,train,5219456
count,42,train,2612455
count,42,train,3103900
count,42,train,4301552
count,42,train,3112604
count,42,train,3557105
count,42,train,2103604
count,42,train,3509908
count,42,train,3157500
count,42,train,2313559
count,42,train,3504305
count,42,train,2915353
count,42,train,2604007
count,42,train,2606200
count,42,train,3551405
count,42,train,5103908
count,42,train,2311504
count,42,train,4116802
count,42,train,2512903
count,42,train,3520608
count,42,train,4126207
count,42,train,4124608
count,42,train,4201604
count,42,train,4119202
count,42,train,2613602
count,42,train,3148400
count,42,train,1502939
count,42,train,3522406
count,42,train,3118205
count,42,train,3124401
count,42,train,2500809
count,42,train,4114906
count,42,train,2606705
count,42,train,5108402
count,42,train,2709103
count,42,train,4312500
count,42,train,4120101
count,42,train,3550506
count,42,train,3138203
count,42,train,4310363
count,42,train,4105904
count,42,train,2922300
count,42,train,4301859
count,42,train,2704500
count,42,train,3547106
count,42,train,2930600
count,42,train,2605103
count,42,train,2926806
count,42,train,2408201
count,42,train,4305207
count,42,train,4127809
count,42,train,1300680
count,42,train,5002209
count,42,train,2202208
count,42,train,2110609
count,42,train,1703867
count,42,train,2207801
count,42,train,5101803
count,42,train,1502004
count,42,train,3554706
count,42,train,1507201
count,42,train,3102209
count,42,train,3548401
count,42,train,2205540
count,42,train,4203006
count,42,train,3506201
count,42,train,3124104
count,42,train,5107883
count,42,train,3134509
count,42,train,2308401
count,42,train,5106232
count,42,train,3302452
count,42,train,2608701
count,42,train,3136900
count,42,train,4309209
count,42,train,1708304
count,42,train,4112801
count,42,train,4315404
count,42,train,4304606
count,42,train,1713700
count,42,train,1100809
count,42,train,3524303
count,42,train,2928901
count,42,train,3145109
count,42,train,4311007
count,42,train,4316402
count,42,train,3537602
count,42,train,3300605
count,42,train,4312757
count,42,train,4124806
count,42,train,5003157
count,42,train,4306734
count,42,train,2309409
count,42,train,4115457
count,42,train,2514453
count,42,train,3100807
count,42,train,3155504
count,42,train,5208509
count,42,train,4305454
count,42,train,3100104
count,42,train,3552809
count,42,train,5205406
count,42,train,4319711
count,42,train,4119806
count,42,train,3144102
count,42,train,4308854
count,42,train,2511806
count,42,train,4204806
count,42,train,4316758
count,42,train,3519600
count,42,train,2512002
count,42,train,3159803
count,42,train,3144607
count,42,train,3539905
count,42,train,1712801
count,42,train,4219606
count,42,train,4311700
count,42,train,3548609
count,42,train,2927408
count,42,train,3552502
count,42,train,3169356
count,42,train,4207106
count,42,train,3130408
count,42,train,4319703
count,42,train,2701704
count,42,train,4319604
count,42,train,3531902
count,42,train,2210359
count,42,train,4306932
count,42,train,2900108
count,42,train,4316204
count,42,train,3531803
count,42,train,3524600
count,42,train,2802700
count,42,train,4306759
count,42,train,5212055
count,42,train,3108552
count,42,train,3165701
count,42,train,3131505
count,42,train,4206207
count,42,train,2105005
count,42,train,2100907
count,42,train,3500204
count,42,train,2411700
count,42,train,1720002
count,42,train,3104700
count,42,train,3524105
count,42,train,3102852
count,42,train,4302055
count,42,train,3141108
count,42,train,3204658
count,42,train,2505907
count,42,train,1707553
count,42,train,3157104
count,42,train,2312007
count,42,train,3110103
count,42,train,2807303
count,42,train,3507100
count,42,train,4115754
count,42,train,3126802
count,42,train,3114600
count,42,train,2515005
count,42,train,1302603
count,42,train,3115706
count,42,train,3517901
count,42,train,2709301
count,42,train,2924603
count,42,train,3104403
count,42,train,1300706
count,42,train,2930105
count,42,train,2508208
count,42,train,3152131
count,42,train,2614006
count,42,train,4101309
count,42,train,3200169
count,42,train,3304300
count,42,train,3143153
count,42,train,2933455
count,42,train,3539707
count,42,train,2411056
count,42,train,3514502
count,42,train,3304003
count,42,train,5220009
count,42,train,2105104
count,42,train,4101507
count,42,train,3150000
count,42,train,2100204
count,42,train,2910404
count,42,train,2611309
count,42,train,2612208
count,42,train,2510402
count,42,train,4219705
count,42,train,2503100
count,42,train,4322343
count,42,train,2924058
count,42,train,4317954
count,42,train,2410801
count,42,train,3153707
count,42,train,2202554
count,42,train,3159209
count,42,train,4317509
count,42,train,1702901
count,42,train,3300209
count,42,train,4312401
count,42,train,4206306
count,42,train,4315503
count,42,train,2504306
count,42,train,3553104
count,42,train,3124807
count,42,train,2513158
count,42,train,3153806
count,42,train,2907301
count,42,train,3541901
count,42,train,3141801
count,42,train,3133204
count,42,train,2103174
count,42,train,2930154
count,42,train,3143609
count,42,train,4210001
count,42,train,4111605
count,42,train,2908606
count,42,train,2104701
count,42,train,3105202
count,42,train,3515905
count,42,train,2602506
count,42,train,4310405
count,42,train,3155603
count,42,train,3134806
count,42,train,3122108
count,42,train,4202602
count,42,train,5006408
count,42,train,2302206
count,42,train,3547700
count,42,train,5007935
count,42,train,3515186
count,42,train,3156700
count,42,train,3151008
count,42,train,2412708
count,42,train,5005681
count,42,train,2112407
count,42,train,4205456
count,42,train,2300150
count,42,train,2209401
count,42,train,1504802
count,42,train,2304954
count,42,train,1712157
count,42,train,3138658
count,42,train,1703305
count,42,train,5105903
count,42,train,3136959
count,42,train,2906824
count,42,train,2904753
count,42,train,3145455
count,42,train,3131802
count,42,train,4109658
count,42,train,3162401
count,42,train,3510609
count,42,train,4315750
count,42,train,3141009
count,42,train,2612109
count,42,train,3528106
count,42,train,3202009
count,42,train,3150604
count,42,train,3163003
count,42,train,2201200
count,42,train,3144409
count,42,train,2202307
count,42,train,3150307
count,42,train,2911501
count,42,train,3519303
count,42,train,4311254
count,42,train,2108108
count,42,train,4316733
count,42,train,4313953
count,42,train,2900801
count,42,train,3306305
count,42,train,2516805
count,42,train,3168903
count,42,train,2703908
count,42,train,4200903
count,42,train,4112603
count,42,train,2923803
count,42,train,3519253
count,42,train,2910107
count,42,train,4118402
count,42,train,4314209
count,42,train,3115003
count,42,train,3113800
count,42,train,3305000
count,42,train,5102678
count,42,train,4119004
count,42,train,4318705
count,42,train,1718865
count,42,train,3127909
count,42,train,2408003
count,42,train,3203163
count,42,train,2601904
count,42,train,2902401
count,42,train,1200252
count,42,train,3154101
count,42,train,3162203
count,42,train,3162658
count,42,train,5107750
count,42,train,3521200
count,42,train,4126504
count,42,train,3157302
count,42,train,2905404
count,42,train,5103502
count,42,train,3126703
count,42,train,3502754
count,42,train,2704906
count,42,train,2913002
count,42,train,1200138
count,42,train,4103602
count,42,train,3205036
count,42,train,3100203
count,42,train,5108808
count,42,train,2411502
count,42,train,1300805
count,42,train,2511707
count,42,train,2102507
count,42,train,3112653
count,42,train,2308005
count,42,train,4217600
count,42,train,3303401
count,42,train,4300109
count,42,train,3119500
count,42,train,4114708
count,42,train,3127107
count,42,train,1705102
count,42,train,2107803
count,42,train,1101450
count,42,train,2703759
count,42,train,2613107
count,42,train,3528502
count,42,train,3554003
count,42,train,2412302
count,42,train,3123205
count,42,train,2613909
count,42,train,2609204
count,42,train,1600279
count,42,train,2205250
count,42,train,4204103
count,42,train,4215075
count,42,train,4217709
count,42,train,2929008
count,42,train,2702405
count,42,train,3147006
count,42,train,2603207
count,42,train,3202900
count,42,train,1600212
count,42,train,4215703
count,42,train,2201606
count,42,train,1707009
count,42,train,2411908
count,42,train,3550704
count,42,train,5002159
count,42,train,3556354
count,42,train,2513356
count,42,train,3518404
count,42,train,2304707
count,42,train,2806404
count,42,train,3503505
