,missing_count,missing_pct,dtype
FIBER_PER_100,6,0.1077,float64
LOG1P_FIBER_PER_100,6,0.1077,float64
FIBER_ACCESSES,5,0.0898,float64
FIBER_BACKHAUL,5,0.0898,float64
ERB_EDGE,2,0.0359,float64
ERB_GSM,2,0.0359,float64
NR_PER_100K_POP,2,0.0359,float64
NR_PER_1000_KM2,2,0.0359,float64
LOG1P_NR_PER_100K_POP,2,0.0359,float64
LOG1P_NR_STATION_CNT,2,0.0359,float64
ERB_LTE,2,0.0359,float64
NR_STATION_CNT,2,0.0359,float64
ERB_CDMA,2,0.0359,float64
ERB_WCDMA,2,0.0359,float64
POP_DENSITY,1,0.018,float64
AREA_KM2,1,0.018,float64
POP_CENSUS_2022,1,0.018,float64
POP_2024,1,0.018,float64
PIB_MIL_REAIS,1,0.018,float64
NOME,1,0.018,object
ACC_WCDMA,1,0.018,float64
ACC_NR,1,0.018,float64
AVG_DL_SPEED,1,0.018,float64
UF,1,0.018,object
ACC_CDMA_IS_95,1,0.018,float64
GDP_PER_CAP,1,0.018,float64
ACC_GSM,1,0.018,float64
ACC_LTE,1,0.018,float64
NR_ACCESS_PER_100,1,0.018,float64
LTE_ACCESS_PER_100,1,0.018,float64
LOG1P_GDP_PER_CAP,1,0.018,float64
LOG1P_POP_2024,1,0.018,float64
SLP_PER_100K_POP,1,0.018,float64
LOG1P_POP_DENSITY,1,0.018,float64
LOG1P_NR_ACCESS_PER_100,1,0.018,float64
LOG1P_LTE_ACCESS_PER_100,1,0.018,float64
LOG1P_SLP_PER_100K_POP,1,0.018,float64
LOG1P_AVG_DL_SPEED,1,0.018,float64
