model,metric,value,ci_low,ci_high
count,ROC-AUC,0.9266983586928816,0.9059656136459378,0.9445820342968488
percap,ROC-AUC,0.8168027683186211,0.7901703662647814,0.844814478786391
presence,ROC-AUC,0.8491982059208077,0.8275183967508803,0.8692100190047622
slp,ROC-AUC,0.8098213596940743,0.7822613022582213,0.8347685796352355
ridge raw,held-out R2,0.02320421914412818,-0.07728906087311262,0.09339124220251237
ridge log,held-out R2,0.061421039195975635,-0.14047033888070265,0.17544943339270735
ridge conditional_log,held-out R2,0.1140074190948559,0.06828012516224162,0.15326858266240495
tnb,McFadden pseudo-R2,0.016908038969359662,,
nb,McFadden pseudo-R2,0.017290688111886943,,
k-means,silhouette,0.3047367023889025,,
