predictor,beta,se_cluster,ratio,conventional_ci_low,conventional_ci_high,cluster_ci_low,cluster_ci_high,cluster_t_ci_low,cluster_t_ci_high,p_t,bootstrap_ci_low,bootstrap_ci_high,original_unit_scale,whole_category_ratio
const,-7.078338353256734,0.050147170317135135,0.0008431730407303049,-7.114783158667071,-7.041893547846397,-7.176626807078319,-6.980049899435149,-7.181417338108243,-6.975259368405224,4.853164802839127e-39,-7.191748919936744,-6.924204255180535,,
GDP_PER_CAP,0.10436282688287238,0.019628131356251407,1.110003120834466,0.058421336012895786,0.15030431775284897,0.06589168942461962,0.14283396434112514,0.06401662505454833,0.14470902871119642,1.4584829942623625e-05,0.05172289330819883,0.15009986834188146,43235.060298777236,
POP_DENSITY,0.22221179427958357,0.0851130332300465,1.2488358461452127,0.1707860744253198,0.27363751413384735,0.05539024914869242,0.3890333394104747,0.04725944886303385,0.3971641396961333,0.014797248246792322,0.11765650647418255,0.4596472391121178,931.4043654402178,
FIBER_PER_100,0.13399465262327614,0.03161506723566465,1.1433867055088442,0.089969282789804,0.1780200224567483,0.07202912084137343,0.19596018440517887,0.06900895121569368,0.19898035403085862,0.00025053596475817566,0.08180899278479187,0.19828716621421608,69.87761498552615,
LTE_ACCESS_PER_100,0.034391760755551934,0.03351747941229799,1.0349899957779074,-0.004184673955253085,0.07296819546635695,-0.03130249889255213,0.100086020403656,-0.034504404885533024,0.10328792639663689,0.3143040350483526,-0.05654740068440842,0.1700929223957449,30.7657273465749,
REGION_North,-0.01890115145245799,0.032943566292982694,0.981276355191369,-0.06824838331984819,0.03044608041493221,-0.08347054138670407,0.04566823848178808,-0.086617621781567,0.04881531887665101,0.5710717677153863,-0.40581311037843115,0.0747410607328001,0.25786445599958735,0.9293231202522155
REGION_Northeast,0.05972905162994651,0.061886208557746424,1.0615488826366033,-0.011588778726597325,0.13104688198649034,-0.061567917143236485,0.1810260204031295,-0.0674798719064938,0.18693797516638683,0.34336504836908954,-0.6913018631678404,0.19764607882210605,0.46533182158516145,1.1369599362857092
REGION_South,0.1475462790889556,0.06554757107933958,1.1589869204474275,0.07650402502694213,0.21858853315096904,0.01907303977345004,0.27601951840446115,0.012811317103836872,0.2822812410740743,0.033065512946192685,-0.5360983817040126,0.29443925226365225,0.43535739547034086,1.4034147889865505
REGION_Southeast,0.019857763273226123,0.05025629545433889,1.0200562402470035,-0.049656763530046055,0.0893722900764983,-0.0786445758172781,0.11836010236373035,-0.0834455315103015,0.12316105805675374,0.6959702220876137,-0.6744631975898401,0.20564427512538044,0.4519083766318696,1.0449217601261578
clogpop,-0.13860379590763566,0.06369327419778917,0.8705728846766282,-0.16818451765390915,-0.10902307416136217,-0.26344261333530244,-0.013764978479968895,-0.26952719606474385,-0.00768039575052748,0.03882140510048859,-0.24378445718985647,-0.02415168959352584,,
