predictor,beta,se_cluster,ratio,conventional_ci_low,conventional_ci_high,cluster_ci_low,cluster_ci_high,cluster_t_ci_low,cluster_t_ci_high,p_t,original_unit_scale,whole_category_ratio
const,-8.100213505245753,0.08915879679476058,0.00030347433779844154,-8.159417454821723,-8.041009555669783,-8.274964746963484,-7.925462263528022,-8.28348203677136,-7.9169449737201445,4.4788945639967e-34,,
GDP_PER_CAP,0.17279014953546365,0.07162216233345384,1.1886166471549553,0.08970975941396118,0.2558705396569661,0.032410711361894134,0.31316958770903314,0.025568686399790513,0.32001161267113676,0.02319469557172113,37996.67636054379,
POP_DENSITY,0.14898791173274592,0.06517747273277326,1.1606589587685994,0.062301879687260045,0.2356739437782318,0.021240065176510337,0.2767357582889815,0.01501369779418732,0.2829621256713045,0.030656056920389054,595.2352323825324,
FIBER_PER_100,0.30179641645466293,0.07856047061287462,1.3522858955270634,0.22682112774524416,0.3767717051640817,0.14781789405342868,0.45577493885589715,0.1403130563962608,0.46327977651306507,0.000705727233022951,69.02453055013613,
LTE_ACCESS_PER_100,-0.04906266718825105,0.04268011682468074,0.9521214610540535,-0.10443512196546709,0.006309787588964985,-0.1327156961646253,0.0345903617881232,-0.13679290376609932,0.03866756938959721,0.2607966388957772,35.672794338856065,
REGION_North,-0.03975891978523561,0.06894431784553734,0.9610210943992837,-0.12119349141195004,0.04167565184147883,-0.1748897827624888,0.09537194319201758,-0.1814759947438888,0.10195815517341761,0.569114198005861,0.2720928650074767,0.8640517547070242
REGION_Northeast,0.21472057129052927,0.14009349798384618,1.2395154923562213,0.10276684738572796,0.3266742951953306,-0.05986268475780923,0.4893038273388678,-0.07324573797772263,0.5026868805587812,0.13743006420715573,0.4672013340622099,1.583422987663888
REGION_South,0.4004902810527605,0.13216338297664526,1.4925562903529317,0.29475774648591624,0.5062228156196048,0.1414500504185358,0.6595305116869852,0.1288245566336338,0.6721560054718873,0.0054678117393303725,0.41016490507020714,2.6549155412594123
REGION_Southeast,-0.043139391735987485,0.11355438695355188,0.9577778744411507,-0.15360697177858942,0.06732818830661444,-0.26570599016494917,0.17942720669297418,-0.2765537770060576,0.19027499353408264,0.7071047592860832,0.4581633820092959,0.910139656092791
clogpop,0.19356990252106954,0.07886926307326526,1.2135742154837545,0.14116692283065005,0.24597288221148902,0.038986146897469626,0.3481536581446695,0.031451810469903474,0.3556879945722356,0.021124714416010448,,
